index,latency_us,convert_us,run_us,argmax_us,snr_db,label,pred,correct
132,1157.1,3.4,1152.3,0.1,0,20,20,1
133,913,3.2,908.9,0.1,-4,8,23,0
134,754.7,2.8,751,0.2,4,2,2,1
135,750.2,1.7,747.7,0.1,24,21,21,1
136,827.3,1.6,824.8,0.1,26,7,7,1
137,774.2,2.1,771.3,0.2,2,5,5,1
138,774.6,1.7,771.9,0.1,4,3,3,1
139,775.3,2.3,772.1,0.1,-16,14,15,0
140,772.3,2,769.4,0.1,-8,11,15,0
141,774.4,1.6,772,0.2,12,9,9,1
142,767.8,2.2,764.6,0.1,0,0,0,1
143,794.4,2.1,791.5,0.1,-14,19,19,1
144,780.8,1.9,777.7,0.1,14,18,17,0
145,792.8,1.9,789.7,0.1,0,20,20,1
146,876.2,2.8,872.3,0.2,8,19,19,1
147,796.3,2.3,792.9,0.1,26,15,15,1
148,773.4,1.8,770.6,0.1,12,14,14,1
149,772.4,1.8,769.7,0.1,20,12,12,1
150,777.3,1.8,774.5,0.1,-2,2,2,1
151,768.2,2,765.5,0.1,-10,12,15,0
152,758.9,2.3,755.9,0.1,12,7,7,1
153,758.4,2,755.4,0.1,-6,15,15,1
154,754.7,1.8,752.1,0.1,10,6,6,1
155,758.1,1.5,755.7,0.1,-10,18,2,0
156,746.2,1.7,743.7,0.2,10,0,0,1
157,741.9,1.9,739.3,0.2,10,9,9,1
158,749.4,1.6,746.8,0.1,-10,22,21,0
159,740.7,1.6,738.2,0.1,30,10,10,1
160,738.7,1.6,736.3,0.1,-6,20,19,0
161,744.1,1.6,741.5,0.2,-20,17,6,0
162,736.6,1.5,734.2,0.2,-8,7,12,0
163,758.9,1.5,756.4,0.1,28,14,14,1
164,735.2,1.6,732.8,0.1,20,21,21,1
165,734.3,1.5,732,0.1,-18,8,15,0
166,739.6,1.5,737.2,0.2,-14,16,15,0
167,733.4,1.5,731.1,0.2,2,5,5,1
168,730.9,1.7,728.5,0.1,20,1,1,1
169,738.5,1.5,736.2,0.1,18,3,3,1
170,730.2,1.6,727.8,0.2,20,1,1,1
171,835.4,1.6,832.5,0.1,14,3,3,1
172,724.4,2,721.5,0.1,18,10,10,1
173,701,1.6,698.5,0.1,14,13,13,1
174,687.9,1.6,685.4,0.1,-4,9,11,0
175,681.9,1.5,679.6,0.1,-20,17,21,0
176,690.5,1.5,688.1,0.1,-14,9,15,0
177,681.7,1.6,679.4,0.1,0,8,12,0
178,680.6,1.7,678.1,0.1,-12,17,15,0
179,685.7,1.6,683.2,0.1,-20,4,15,0
180,681.7,1.5,679.3,0.2,-20,23,15,0
181,689.1,1.4,686.8,0.1,-6,17,1,0
182,886.1,1.5,883.1,0.1,-16,0,12,0
183,850.4,2.5,846.9,0.1,-2,20,19,0
184,841.2,2.7,837.5,0.1,4,8,8,1
185,740.6,2.4,737.3,0.1,-12,9,19,0
186,736.7,1.6,734.3,0.1,6,6,6,1
187,762.1,1.6,758.9,0.2,-20,5,15,0
188,751.5,2.5,748.2,0.1,4,23,23,1
189,744.1,1.6,741.5,0.1,30,15,15,1
190,732,1.5,729.5,0.2,0,17,17,1
191,745.1,1.5,742.6,0.1,16,2,2,1
192,742.9,1.6,740.5,0.1,-4,22,4,0
193,733.2,1.9,730.4,0.1,-10,7,3,0
194,740.8,1.6,738.3,0.1,4,2,2,1
195,727.5,1.7,725,0.1,28,4,4,1
196,730,1.8,727.2,0.1,20,19,19,1
197,735.1,1.7,732.4,0.1,8,15,13,0
198,725,1.9,722.3,0.2,24,0,0,1
199,724.5,1.6,722,0.1,22,15,15,1
200,912.8,1.6,908.6,0.3,8,8,8,1
201,1881.9,3.5,1876.1,0.3,10,20,19,0
202,1735.6,4.5,1729,0.4,4,22,22,1
203,1485.7,3.6,1480.5,0.2,6,15,14,0
204,1168.7,2.8,1164.6,0.2,-8,17,18,0
205,1110.4,2.2,1106.9,0.2,-8,0,17,0
206,987.1,2.2,984,0.1,-16,15,12,0
207,824.9,1.8,822.3,0.1,-16,19,18,0
208,823.9,1.6,821.4,0.1,10,7,7,1
209,809.8,2.1,806.9,0.2,6,3,3,1
210,886.3,1.5,883.4,0.2,-4,7,7,1
211,725,1.9,722.2,0.1,-4,9,11,0
212,688.6,2,685.8,0.1,-6,4,15,0
213,760.7,1.7,758.1,0.1,26,17,17,1
214,729.6,1.8,726.9,0.1,16,2,2,1
215,700.8,1.6,698.4,0.1,24,18,18,1
216,688.6,1.7,686.2,0.2,22,15,15,1
217,691.4,1.5,689.2,0.1,-18,3,12,0
218,693.5,1.4,691.2,0.2,20,12,12,1
219,687.1,1.5,684.7,0.2,0,15,15,1
220,683,1.4,680.8,0.1,-10,2,12,0
221,761.3,1.5,759,0.2,22,23,23,1
222,686.3,1.6,683.8,0.1,-10,5,21,0
223,717.7,1.6,715.4,0.1,-12,1,9,0
224,753.7,1.5,751.3,0.1,2,8,12,0
225,773.4,2.5,770.1,0.1,30,13,13,1
226,733.3,2.3,730.2,0.1,-12,17,18,0
227,689.5,2.3,686.4,0.1,10,3,3,1
228,688.8,2.3,685.7,0.1,10,1,1,1
229,710.9,2.6,707.5,0.1,-14,16,15,0
230,686.1,2.4,682.9,0.2,-18,8,6,0
231,693.7,2.2,690.5,0.1,6,14,13,0
232,688.3,2.2,685.2,0.1,-8,9,20,0
233,814.8,2.4,811.3,0.1,12,20,20,1
234,779,2.5,775.5,0.1,-16,10,3,0
235,688.1,2.2,685.1,0.1,-20,17,15,0
236,690.5,1.7,687.9,0.2,0,6,7,0
237,681.7,1.7,679.3,0.2,-16,2,15,0
238,685.3,1.6,683,0.1,-12,16,10,0
239,735,1.5,732.4,0.2,28,7,7,1
240,770.7,1.7,768.1,0.1,4,5,7,0
241,709.5,1.5,707.1,0.2,24,23,23,1
242,704.6,1.6,702.2,0.1,22,3,3,1
243,697,1.7,694.6,0.1,12,14,14,1
244,693.6,1.6,691.1,0.1,-12,4,21,0
245,684.1,1.6,681.8,0.1,26,16,16,1
246,685,1.6,682.7,0.1,20,7,7,1
247,688.6,1.5,686.2,0.1,6,15,15,1
248,683.3,1.4,681.1,0.2,12,10,10,1
249,685.3,1.6,683,0.1,-12,2,15,0
250,690.1,1.6,687.7,0.1,22,19,19,1
251,687.9,2.2,684.9,0.1,-4,13,11,0
252,691.3,2.4,688.1,0.1,26,18,18,1
253,772.8,2.2,769.5,0.1,0,13,9,0
254,702,2.3,699,0.1,6,6,6,1
255,685.2,2.3,682.1,0.1,-8,7,12,0
256,696,2.7,692.4,0.1,24,4,4,1
257,683.8,2.3,680.6,0.1,-2,15,23,0
258,741.3,2.4,738.1,0.2,2,17,17,1
259,700,2.3,696.9,0.1,22,3,3,1
260,691.4,2.3,688.3,0.1,-4,3,3,1
261,697,1.6,694.6,0.1,6,19,19,1
262,731.6,1.7,729.2,0.1,6,1,1,1
263,687.6,1.5,685.3,0.1,4,3,3,1
264,728.7,1.5,726.3,0.1,12,20,19,0
265,696,1.6,693.4,0.2,-14,6,18,0
266,690.6,1.5,688.3,0.1,-4,16,9,0
267,708,1.7,705.4,0.1,-16,11,18,0
268,688.9,1.7,686.2,0.2,-18,16,14,0
269,694.1,1.6,691.6,0.1,-10,2,17,0
270,683.5,1.6,681,0.1,16,11,10,0
271,685.1,1.4,682.8,0.1,-18,0,4,0
272,733.4,1.7,730.8,0.1,-10,11,14,0
273,695,1.6,692.6,0.2,28,21,21,1
274,691.1,1.7,688.4,0.1,-16,13,10,0
275,683.1,1.5,680.7,0.1,26,8,8,1
276,746.7,1.5,744.3,0.1,0,23,23,1
277,720.8,1.8,718,0.1,-20,9,15,0
278,843.9,1.6,841.5,0.1,-8,23,4,0
279,659.7,1.6,657.3,0.1,10,0,0,1
280,653,1.6,650.6,0.1,14,20,20,1
281,647.1,1.5,644.7,0.1,-6,12,4,0
282,706.5,2,703.7,0.1,16,18,17,0
283,709.7,1.6,707.2,0.1,26,7,7,1
284,651.6,1.7,649.1,0.1,-12,5,15,0
285,674.8,1.6,672.4,0.1,-10,2,18,0
286,662.4,1.5,660.1,0.1,-10,21,21,1
287,643.9,1.4,641.7,0.2,8,19,19,1
288,671.3,1.5,668.8,0.1,16,9,9,1
289,687.5,1.6,685.1,0.1,0,19,20,0
290,665.8,1.6,663.3,0.1,14,12,12,1
291,654.4,1.5,652,0.1,-18,1,19,0
292,678.8,1.5,676.4,0.1,18,22,22,1
293,725.7,1.5,723.3,0.1,0,14,9,0
294,738.5,2,735.4,0.1,2,2,2,1
295,700,1.7,697.5,0.1,20,1,1,1
296,710.7,1.6,708.2,0.1,-16,3,21,0
297,684.8,1.5,682.4,0.1,-16,20,15,0
298,682.7,1.6,680.3,0.2,16,21,21,1
299,796.7,1.6,793.7,0.1,28,10,10,1
300,732.4,2.3,729.2,0.1,30,16,16,1
301,747.7,1.8,745,0.1,16,5,5,1
302,890.4,1.7,887.4,0.1,24,14,16,0
303,757.5,3.1,753.6,0.1,-14,7,15,0
304,760.7,1.8,758,0.1,24,14,14,1
305,759.3,2,756.5,0.1,-12,20,19,0
306,751.8,1.6,749.2,0.2,-2,20,19,0
307,737.8,1.7,735.3,0.1,20,3,3,1
308,751.4,1.8,748.7,0.1,4,19,19,1
309,734.1,1.7,731.5,0.1,12,0,0,1
310,736.5,1.7,734.1,0.1,-14,16,17,0
311,801.1,1.8,798.1,0.1,-12,8,15,0
312,778.7,1.9,775.7,0.2,-12,4,15,0
313,760.3,2.3,757.2,0.2,4,15,15,1
314,750.1,1.7,747.5,0.2,-18,10,15,0
315,730.3,1.7,727.8,0.1,-2,11,16,0
316,737.5,1.7,734.9,0.2,-12,8,20,0
317,734.6,1.7,732.1,0.1,4,14,16,0
318,722.5,1.5,720.1,0.1,14,10,10,1
319,717.8,1.8,715.3,0.1,-6,19,19,1
320,915.6,1.6,912.6,0.1,-2,7,9,0
321,844.9,2.5,841.1,0.1,30,11,11,1
322,785.7,2.1,782.6,0.1,20,16,14,0
323,754.1,1.9,751.2,0.1,10,0,0,1
324,735.7,1.6,733.2,0.1,-10,12,15,0
325,757.1,2.1,754.2,0.1,12,20,20,1
326,762.1,1.6,759.7,0.2,10,3,3,1
327,766.9,1.6,764.4,0.1,-16,21,10,0
328,753.3,1.8,750.5,0.1,-8,9,7,0
329,857.1,2,853.7,0.1,12,7,7,1
330,785.8,2.2,782.5,0.1,-14,5,15,0
331,763.1,2.2,759.9,0.1,26,14,14,1
332,752.6,2,749.7,0.1,4,0,0,1
333,755.1,1.7,752.6,0.1,-16,6,18,0
334,746.6,1.7,744,0.1,8,20,20,1
335,1072.3,1.8,1069.1,0.1,28,9,9,1
336,885.8,2.8,882,0.2,-20,7,8,0
337,1078.3,2.1,1074.7,0.1,12,19,19,1
338,913.3,2.7,909.6,0.2,28,17,17,1
339,861.3,2.5,857.6,0.1,-6,10,15,0
340,938.8,2.7,934.7,0.1,-2,10,11,0
341,801.7,2.3,798.5,0.1,10,10,11,0
342,863.3,2,860.1,0.2,12,4,4,1
343,858.1,2,855,0.1,-18,5,18,0
344,778.4,2.1,775.5,0.1,6,23,23,1
345,1155.8,1.9,1152.6,0.1,12,2,2,1
346,791.1,2.8,787.3,0.1,-8,18,1,0
347,774.2,1.9,771.3,0.1,-6,0,0,1
348,770.2,2,767,0.1,-20,16,21,0
349,765.6,1.9,762.8,0.1,-16,14,10,0
350,760.6,1.6,758.2,0.1,14,21,21,1
351,775.9,1.5,773.4,0.1,28,7,7,1
352,829.8,2,826.7,0.1,-20,10,12,0
353,830.5,2,827.6,0.1,8,3,3,1
354,1530.6,2.2,1526.2,0.2,4,11,11,1
355,921.1,2.7,917.4,0.1,28,22,22,1
356,888.9,3,884.9,0.1,-6,13,7,0
357,888,2.4,884.6,0.1,-4,3,3,1
358,895.5,2.8,891.5,0.1,10,21,21,1
359,869.2,2.3,865.8,0.1,12,18,17,0
360,858.9,2,855.9,0.1,-16,16,20,0
361,1231.6,2.5,1227.6,0.1,0,14,15,0
362,866.1,2.8,862.1,0.1,4,6,7,0
363,865.7,2.2,862.3,0.2,10,3,3,1
364,864.3,2.2,861.1,0.2,26,9,9,1
365,859.1,2.3,856,0.1,8,4,4,1
366,858.4,2,855.3,0.1,0,5,7,0
367,835.8,1.9,833.1,0.1,14,14,14,1
368,1011.6,2.3,1007.9,0.1,-12,12,15,0
369,856,2.5,852.2,0.1,-6,14,15,0
370,852,2.5,848.3,0.2,-14,4,15,0
371,832,1.8,829.1,0.1,0,10,9,0
372,848.5,2,845.5,0.1,24,10,10,1
373,823.7,2.3,820.4,0.1,-2,8,15,0
374,815.9,1.7,813.3,0.1,28,20,20,1
375,820,1.7,817.3,0.1,-10,19,20,0
376,839.2,2.1,836.1,0.1,-16,19,20,0
377,857.4,1.9,854.5,0.1,18,9,9,1
378,984.9,2.1,981.1,0.2,14,5,5,1
379,885.8,2.2,882.6,0.1,16,15,15,1
380,853.4,2.1,850.2,0.2,22,13,13,1
381,834.9,2.2,831.8,0.2,10,3,3,1
382,930.7,2.2,927.2,0.1,-6,21,21,1
383,854,2.2,850.9,0.1,-8,18,1,0
384,859.8,2.2,856.3,0.1,-14,17,21,0
385,1768.7,2.1,1765.4,0.1,8,16,14,0
386,840.5,2,837.6,0.1,24,1,1,1
387,842,2.2,838.9,0.1,8,2,2,1
388,815.6,2.1,812.7,0.1,-6,17,2,0
389,808.6,1.7,806,0.1,20,8,8,1
390,811.2,1.8,808.6,0.1,-2,17,17,1
391,802.4,1.7,799.8,0.2,8,10,10,1
392,1237.6,1.9,1234.4,0.1,14,18,17,0
393,845.4,2.4,842.1,0.1,28,14,14,1
394,849.1,2.3,845.8,0.2,26,17,17,1
395,809.1,2.2,806.1,0.1,-20,0,15,0
396,805.9,1.8,803.3,0.1,2,15,14,0
397,790.9,1.6,788.5,0.2,-12,9,7,0
398,797.1,1.8,794.4,0.2,-18,20,10,0
399,791.3,1.6,788.9,0.1,20,8,8,1
400,929.5,2.5,925.7,0.1,-16,4,20,0
401,855.6,2.1,852.2,0.1,30,19,19,1
402,912.5,2.1,909,0.1,10,13,13,1
403,873.8,2.4,870.2,0.1,-14,22,15,0
404,853.7,2,850.7,0.2,18,7,7,1
405,843.6,1.9,840.7,0.1,-4,1,0,0
406,807.2,1.8,804.6,0.1,24,13,13,1
407,794.5,2,791.6,0.1,26,18,17,0
408,825,2.3,821.6,0.1,12,23,23,1
409,821.7,1.8,818.9,0.1,16,23,23,1
410,818.6,2.2,815.5,0.1,-12,6,15,0
411,823,1.7,820.4,0.1,20,22,22,1
412,810.3,1.9,807.4,0.1,-16,0,20,0
413,786.3,1.6,783.8,0.1,28,19,19,1
414,785.9,2.2,782.7,0.1,24,7,7,1
415,782.6,1.9,779.8,0.1,18,22,22,1
416,982.5,1.8,979.3,0.1,-8,5,12,0
417,813.4,2.4,810.2,0.2,20,8,8,1
418,817.4,2.1,814.5,0.1,24,8,8,1
419,816.4,2.2,813.4,0.1,20,4,4,1
420,804.2,2.2,801.2,0.1,12,2,2,1
421,810.5,2,807.7,0.1,26,17,17,1
422,801.8,2.1,798.9,0.1,2,5,5,1
423,790.6,2.2,787.6,0.1,2,19,19,1
424,881,2,878.2,0.1,6,16,14,0
425,914.5,2.2,910.8,0.2,26,13,13,1
426,799,2.2,796,0.1,10,15,16,0
427,787.8,2.1,784.7,0.1,18,22,22,1
428,790.5,2,787.8,0.1,0,10,11,0
429,775.2,2.1,772.3,0.1,22,19,19,1
430,788,2,785.2,0.2,-8,13,4,0
431,770.1,1.8,767.5,0.2,-2,4,23,0
432,799.1,1.6,796.6,0.1,0,16,9,0
433,773.9,1.8,771.2,0.1,2,2,2,1
434,1148.8,2,1145.4,0.1,-20,14,14,1
435,844.7,3.2,840.6,0.1,-16,15,21,0
436,820.1,2,817.2,0.1,24,18,17,0
437,823,1.8,820.3,0.1,-10,7,15,0
438,804,2.3,800.8,0.2,8,2,2,1
439,788,1.8,785.5,0.1,-2,11,15,0
440,787.8,1.8,785.1,0.1,2,21,21,1
441,803.7,1.9,800.8,0.1,-10,17,17,1
442,792.1,1.6,789.5,0.1,26,6,6,1
443,827.5,1.5,825.1,0.1,28,6,6,1
444,832.3,1.7,829.6,0.1,-6,8,15,0
445,841.8,1.7,839,0.1,2,3,3,1
446,826.7,1.8,824.1,0.1,6,16,16,1
447,841.7,1.7,839.1,0.1,4,23,23,1
448,794.9,1.9,792.1,0.2,22,12,12,1
449,765.8,1.7,763.2,0.2,0,14,9,0
450,809,1.7,806.1,0.1,-4,3,3,1
451,830.7,2,827.9,0.1,28,12,12,1
452,847.8,1.7,845.4,0.1,6,11,11,1
453,907.6,1.6,905,0.1,18,10,10,1
454,1470.9,2.3,1466.2,0.4,16,17,17,1
455,1121.8,3.2,1117.2,0.3,-20,10,21,0
456,851.7,2.7,847.6,0.3,-4,20,19,0
457,1079.2,2.2,1075.5,0.3,6,23,23,1
458,879.8,2.1,876.5,0.3,-14,18,15,0
459,868.2,2.3,865,0.1,-4,22,7,0
460,850.7,2.1,847.8,0.1,20,17,17,1
461,871.7,1.8,869,0.1,30,0,0,1
462,837.1,1.7,834.4,0.1,18,1,1,1
463,843.1,2.1,840,0.1,-2,14,3,0
464,817.2,1.5,814.7,0.1,8,12,12,1
465,859.3,1.7,856.7,0.1,8,7,7,1
466,845.5,2.1,842.6,0.1,6,15,15,1
467,867.6,2.5,864,0.2,-6,23,4,0
468,827.6,1.8,824.7,0.1,22,10,10,1
469,809.8,1.7,807.2,0.1,4,14,16,0
470,807.8,1.5,805.2,0.1,20,16,16,1
471,803.2,1.7,800.6,0.2,2,20,19,0
472,793.4,1.7,790.8,0.1,-6,16,7,0
473,806,1.8,803.2,0.1,-14,16,15,0
474,794.1,1.8,791.4,0.1,-10,9,15,0
475,800.2,2,797.2,0.1,-18,19,10,0
476,766.2,2.1,763.2,0.1,24,10,10,1
477,766.5,1.6,764.2,0.1,-2,4,13,0
478,779.8,1.6,777.4,0.1,18,12,12,1
479,760.2,1.7,757.7,0.1,-6,14,11,0
480,756.4,1.8,753.8,0.1,20,22,22,1
481,846.3,1.7,843.7,0.1,-8,17,18,0
482,853.1,2.3,849.6,0.1,-20,17,15,0
483,797.4,2.2,794.4,0.1,6,4,4,1
484,781.9,1.6,779.4,0.1,-20,6,20,0
485,794.3,1.6,791.8,0.1,20,4,4,1
486,780.5,1.7,777.9,0.1,-2,22,22,1
487,797.6,1.7,795.1,0.2,4,20,20,1
488,752.6,1.6,750,0.2,8,8,8,1
489,755.8,1.5,753.3,0.2,-8,3,14,0
490,741.4,1.7,738.9,0.2,18,18,18,1
491,782.6,1.6,780.2,0.1,0,1,1,1
492,770.2,1.6,767.6,0.2,22,5,5,1
493,836.6,1.8,834,0.1,-4,5,7,0
494,808,1.5,805.6,0.1,-18,19,15,0
495,751,1.5,748.5,0.1,10,4,4,1
496,739.5,1.5,737.1,0.1,-20,20,18,0
497,747.2,1.9,744.5,0.1,28,8,8,1
498,733.7,1.6,731.3,0.1,-16,16,15,0
499,735.4,1.5,733,0.1,24,9,9,1
500,774,1.6,771.5,0.1,-14,15,21,0
501,901.9,1.9,899,0.1,-4,10,15,0
502,764.8,2.5,761.4,0.1,4,8,8,1
503,750,1.8,747.4,0.1,18,4,4,1
504,748.2,1.6,745.7,0.1,20,8,8,1
505,765.4,1.7,762.8,0.1,-4,7,15,0
506,744.8,2.1,742,0.1,22,17,17,1
507,747.5,1.6,745.2,0.1,18,2,2,1
508,744.2,1.6,741.8,0.1,18,7,7,1
509,806.6,1.5,803.6,0.1,-18,16,15,0
510,761.9,2,759,0.2,12,19,19,1
511,755,1.7,752.5,0.1,-14,1,15,0
512,738.3,1.7,735.8,0.1,12,11,11,1
513,732.6,1.7,730,0.2,-18,15,15,1
514,737.2,1.6,734.7,0.1,4,3,3,1
515,730.6,1.6,728.2,0.1,-12,0,18,0
516,730.4,1.6,727.9,0.1,-6,21,21,1
517,738.9,1.9,736.1,0.1,14,10,10,1
518,858.7,1.8,855.6,0.1,-18,13,15,0
519,841.8,3,837.9,0.1,6,17,17,1
520,757.3,2.3,754.2,0.1,-10,19,15,0
521,754.4,1.6,751.9,0.1,14,22,22,1
522,766.7,1.9,764,0.2,22,18,17,0
523,812.1,1.8,809.4,0.1,-20,23,15,0
524,775.7,1.7,773.2,0.1,20,13,13,1
525,771.9,1.4,769.6,0.1,-12,5,12,0
526,812.8,1.7,810.3,0.1,28,17,17,1
527,848.5,1.6,846,0.1,12,7,7,1
528,793,2.1,789.9,0.1,8,15,15,1
529,782.1,2.1,779,0.1,14,2,2,1
530,792.8,1.7,790.2,0.2,22,1,1,1
531,805.5,2,802.7,0.1,-12,21,18,0
532,772.9,1.7,770.5,0.1,30,10,10,1
533,758.3,1.6,755.7,0.1,28,21,21,1
534,752.6,1.6,750.2,0.2,30,15,15,1
535,747.8,1.8,745.1,0.1,22,4,4,1
536,867.8,1.7,864.9,0.2,16,6,6,1
